summoner name,game duration,win,champion,champion id,champion level,deaths,kills,assists,role,wards killed,wards placed,dragon kills,baron kills,damage dealt to objectives,damage dealt to turrets,turrets lost,turret kills,total minions killed,inhibitor takedowns,inhibitor kills
Cillian Murphy1,1627,1,Sion,14,16,6,2,17,SOLO,2,14,0,0,1633,1633,1,0,177,2,0
HMpeiwan offlÏne,1627,1,Khazix,121,16,2,14,5,NONE,7,5,4,1,64403,1213,1,2,34,1,1
goodtoknowyouhah,1627,1,Neeko,518,17,1,9,10,SOLO,2,6,0,0,11956,6708,1,2,227,3,1
Server Menace,1627,1,Draven,119,14,7,7,5,CARRY,3,8,0,0,19456,9311,1,5,215,1,1
Chapter 4,1627,1,Janna,40,13,4,1,22,SUPPORT,6,34,0,0,4367,3333,1,1,15,3,0
fιght,1627,0,Aatrox,266,15,6,7,1,DUO,2,8,0,0,2793,2793,11,1,202,0,0
FaithXD,1627,0,Elise,60,13,5,3,3,NONE,4,4,0,0,11338,120,11,0,26,0,0
DetBirken,1627,0,Jayce,126,15,7,1,2,DUO,2,9,0,0,5430,0,11,0,197,0,0
Hellman,1627,0,Samira,360,12,10,7,1,CARRY,2,11,0,0,1928,887,11,0,155,0,0
Grizzły Hills,1627,0,Rell,526,11,6,0,10,SUPPORT,3,21,0,0,0,0,11,0,31,0,0
Ryan5idee,1706,0,Jax,24,16,5,11,7,NONE,2,12,0,0,5749,5749,10,3,206,0,0
Argubidang,1706,0,Khazix,121,14,7,1,11,SOLO,2,4,0,0,14291,0,10,0,18,0,0
pogSHARK,1706,0,Fizz,105,17,5,9,4,SOLO,5,3,0,0,120,0,10,0,217,0,0
Osdal,1706,0,Kalista,429,13,9,7,4,CARRY,9,6,0,0,4241,3535,10,1,225,0,0
Soloq Secret Acc,1706,0,Rell,526,12,9,2,10,SUPPORT,6,33,0,0,569,367,10,0,33,0,0
Käräsu,1706,1,Illaoi,420,15,11,6,4,SOLO,0,9,1,0,15985,7619,4,3,170,0,0
CallMeAdolf,1706,1,Graves,104,16,9,13,10,NONE,5,3,3,2,61146,4473,4,1,43,1,1
UK DRILL MIX,1706,1,Anivia,34,17,3,7,9,DUO,2,6,0,0,11802,2427,4,0,196,1,0
Z1ER,1706,1,Kaisa,145,15,5,6,14,DUO,10,10,0,0,23029,8720,4,5,225,1,0
Chapter 4,1706,1,Braum,201,14,2,3,22,SUPPORT,9,33,0,0,6440,1500,4,0,44,1,0
Trighter,1835,1,Zac,154,17,4,7,12,NONE,4,9,0,0,11085,1676,3,2,226,3,1
Zankiller2,1835,1,Nocturne,56,18,5,21,4,NONE,5,5,1,1,52644,5551,3,4,56,3,2
EWS MENESIS,1835,1,Leblanc,7,16,6,6,8,SOLO,5,3,0,0,12509,6812,3,3,226,1,0
iRazer,1835,1,Ezreal,81,15,6,4,10,CARRY,4,9,1,1,30897,5255,3,1,196,1,0
Chapter 4,1835,1,Soraka,16,15,6,0,28,SUPPORT,4,39,0,0,2360,1095,3,0,11,2,0
MARVIN CANT STOP,1835,0,Singed,27,17,9,4,6,DUO,0,13,0,0,11137,914,11,0,295,0,0
happy winter,1835,0,Karthus,30,16,9,6,10,NONE,3,1,2,0,21813,417,11,1,48,0,0
ŁordVanDamm,1835,0,Naafiri,950,16,7,7,5,DUO,1,6,0,0,2165,1614,11,1,212,0,0
Crimsen,1835,0,Caitlyn,51,15,7,5,9,CARRY,5,7,0,0,6604,4735,11,1,217,0,0
Will it Pay ,1835,0,Blitzcrank,53,14,8,5,13,SUPPORT,5,36,0,0,1708,436,11,0,31,0,0
dopamine hack,1568,0,Quinn,133,14,7,4,4,SOLO,1,9,0,0,5563,3025,11,2,186,0,0
noob belveth,1568,0,Belveth,200,13,7,2,3,NONE,5,0,0,0,23902,0,11,0,18,0,0
DNC Void,1568,0,Ryze,13,16,4,3,2,CARRY,3,11,0,0,1368,1193,11,1,216,0,0
JL BlackSwan,1568,0,Ezreal,81,13,3,0,3,SOLO,4,4,0,0,1619,1292,11,0,221,0,0
Chapter 4,1568,0,Rakan,497,11,2,3,5,SUPPORT,8,46,0,0,0,0,11,0,38,0,0
SLEYERCOOL,1568,1,Riven,92,16,7,7,1,SOLO,2,5,0,0,10437,7235,3,2,202,0,0
lIIIIIIlIIIIlIII,1568,1,LeeSin,64,14,1,9,4,NONE,5,14,3,1,33406,275,3,1,7,1,0
TWITTER OPAT04XD,1568,1,Cassiopeia,69,16,2,2,4,SOLO,2,8,0,0,10579,5451,3,3,202,1,1
chill falls1,1568,1,Xayah,498,15,1,5,6,CARRY,6,9,0,0,24482,13048,3,4,260,2,1
Ravensburg Tale,1568,1,Blitzcrank,53,12,1,0,10,SUPPORT,16,32,1,0,12315,208,3,0,44,1,0
Rïck Grimes ,1173,1,Graves,104,13,2,2,8,SUPPORT,0,7,0,0,3471,1241,1,0,155,1,0
lCherkessl,1173,1,Lillia,876,12,1,3,7,SUPPORT,1,8,2,0,23835,283,1,1,21,1,0
LordKevko,1173,1,Syndra,134,12,1,3,5,SUPPORT,1,6,0,0,4852,1823,1,0,164,1,0
wqrfsadfa,1173,1,Tristana,18,12,4,18,4,SUPPORT,1,7,0,0,8030,6725,1,3,153,1,1
Carrry,1173,1,Rell,526,10,5,1,20,SUPPORT,7,17,0,0,882,445,1,0,34,1,0
Rammus CHILL ,1173,0,Rammus,33,10,4,0,5,SUPPORT,5,2,0,0,2801,0,4,0,18,0,0
Maxlore,1173,0,Renekton,58,13,4,2,1,SUPPORT,2,5,0,0,11339,1781,4,1,159,0,0
mid0705,1173,0,Ahri,103,11,4,6,0,SUPPORT,1,3,0,0,409,0,4,0,129,0,0
rettebeb,1173,0,Zeri,221,9,10,3,4,SUPPORT,0,5,0,0,1558,1558,4,0,107,0,0
Chapter 4,1173,0,Braum,201,9,5,2,8,SUPPORT,5,18,0,0,0,0,4,0,34,0,0
Lingwi,1856,1,Olaf,2,17,9,3,6,SOLO,1,13,0,0,3265,993,3,2,195,0,0
człowiek rakieta,1856,1,Shaco,35,17,6,14,10,NONE,6,8,2,2,34636,4028,3,3,13,1,1
Jagt,1856,1,KSante,897,17,6,6,14,SOLO,1,5,0,0,13149,8237,3,3,192,2,0
sro rage enjoyer,1856,1,Kaisa,145,17,4,12,12,CARRY,9,9,1,0,44998,9028,3,2,277,2,2
Chapter 4,1856,1,Rakan,497,16,2,4,25,SUPPORT,8,55,0,0,2305,1640,3,1,55,3,0
Gruiku,1856,0,Rumble,68,16,7,6,5,SOLO,0,11,0,0,7408,4130,11,2,203,0,0
Evilpainn,1856,0,Taliyah,163,16,8,4,11,SOLO,4,13,0,0,4015,334,11,0,223,0,0
Razørk Activoø,1856,0,RekSai,421,15,7,13,9,NONE,3,6,1,0,21461,1625,11,1,41,0,0
rettebeb,1856,0,Varus,110,14,10,2,8,CARRY,6,7,0,0,59,59,11,0,201,0,0
LeoNaut Phobia,1856,0,Rell,526,13,7,2,15,SUPPORT,6,43,0,0,4300,401,11,0,33,0,0
Badlulu00,1736,1,Renekton,58,17,4,8,6,NONE,4,9,0,0,6628,5231,2,2,233,1,0
Razørk Activoø,1736,1,RekSai,421,17,3,5,17,NONE,1,4,1,1,38156,2108,2,2,11,1,0
Kibbylol,1736,1,Vladimir,8,17,2,11,6,SOLO,0,9,0,1,9878,3793,2,2,258,2,1
avarice61,1736,1,Aphelios,523,15,3,8,9,CARRY,6,7,1,0,32564,7907,2,4,204,2,1
Hannover,1736,1,Pyke,555,13,8,4,14,SUPPORT,15,50,0,0,329,329,2,0,22,1,0
Lingwi,1736,0,Gragas,79,14,6,1,5,SOLO,2,11,0,0,4302,0,10,0,171,0,0
PikAsyou,1736,0,Elise,60,12,12,2,3,NONE,6,6,1,0,17154,145,10,0,13,0,0
Competitor,1736,0,Zed,238,16,4,11,1,SOLO,3,2,0,0,6091,2845,10,1,244,0,0
sro rage enjoyer,1736,0,Xayah,498,15,7,3,3,CARRY,13,10,1,0,10321,2335,10,1,270,0,0
Chapter 4,1736,0,Braum,201,12,7,2,8,SUPPORT,7,36,0,0,710,710,10,0,38,0,0
Hof,1582,0,Singed,27,14,9,2,3,SOLO,4,9,0,0,587,587,7,0,190,0,0
Clarence Kennedy,1582,0,Khazix,121,14,3,6,4,NONE,5,6,1,1,17959,0,7,0,30,0,0
JockøWillink,1582,0,Leblanc,7,16,2,5,6,SOLO,10,4,0,0,6359,6359,7,3,270,0,0
WENB0,1582,0,Xayah,498,14,5,0,4,CARRY,5,10,0,0,4648,682,7,0,223,0,0
trymbol,1582,0,Zoe,142,10,5,0,7,SUPPORT,12,25,0,0,699,604,7,0,42,0,0
BYLB Dawn,1582,1,Irelia,39,16,2,10,6,SOLO,2,8,0,0,18928,6771,3,3,257,0,0
